1	0
2	0
3	0
4	1
5	1
6	1
7	0
8	0
9	0
10	1
11	1
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	1
21	0
22	1
23	0
24	1
25	0
26	0
27	0
28	1
29	1
30	0
31	0
32	1
33	0
34	1
35	1
36	1
37	1
38	0
39	1
40	1
41	1
42	0
43	0
44	1
45	0
46	0
47	1
48	1
49	0
50	0
51	0
52	1
53	1
54	1
55	0
56	0
57	0
58	1
59	0
60	1
61	0
62	1
63	1
64	0
65	0
66	1
67	1
68	1
69	0
70	0
71	0
72	1
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	1
89	1
90	0
91	0
92	1
93	0
94	0
95	0
96	1
97	0
98	1
99	1
100	0
101	0
102	0
103	1
104	1
105	1
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	1
114	0
115	0
116	0
117	0
118	0
119	0
120	1
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	1
129	0
130	0
131	1
132	0
133	0
134	1
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	1
143	1
144	0
145	1
146	0
147	0
148	0
149	1
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	1
162	0
163	0
164	1
165	1
166	0
167	0
168	0
169	1
170	0
171	0
172	1
173	0
174	0
175	1
176	1
177	0
178	0
179	0
180	0
181	0
182	1
183	1
184	0
185	0
186	0
187	0
188	0
189	1
190	1
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	1
200	1
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	1
210	0
211	0
212	1
213	1
214	0
215	1
216	0
217	0
218	0
219	0
220	0
221	0
222	1
223	0
224	1
225	1
226	1
227	0
228	0
229	1
230	1
231	1
232	1
233	0
234	0
235	0
236	0
237	1
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	1
249	1
250	1
251	0
252	1
253	1
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	1
265	1
266	1
267	0
268	1
269	1
270	0
271	1
272	0
273	0
274	1
275	0
276	1
277	1
278	1
279	1
280	0
281	0
